Country,Code,GDP
Aruba,ABW,2983636871.50838
Africa Eastern and Southern,AFE,873354876607.317
Afghanistan,AFG,18116562464.9088
Africa Western and Central,AFW,690543020916.229
Angola,AGO,101123851090.455
Albania,ALB,11861199830.8396
Andorra,AND,2896679211.86628
Arab World,ARB,2411981152232.62
United Arab Emirates,ARE,357045064669.843
Argentina,ARG,557531376217.967
Armenia,ARM,10546135160.031
American Samoa,ASM,671000000.0
Antigua and Barbuda,ATG,1436585185.18519
Australia,AUS,1206685107002.47
Austria,AUT,395568644341.038
Azerbaijan,AZE,37867518957.1975
Burundi,BDI,2732808556.84172
Belgium,BEL,475739588764.759
Benin,BEN,11821066152.5979
Burkina Faso,BFA,12833363370.174
Bangladesh,BGD,221415188000.475
Bulgaria,BGR,53953897624.4344
Bahrain,BHR,32234973404.2553
"Bahamas, The",BHS,11992600000.0
Bosnia and Herzegovina,BIH,16914287348.9819
Belarus,BLR,47722657820.6675
Belize,BLZ,1789304087.78561
Bermuda,BMU,6899911000.0
Bolivia,BOL,33941126200.0606
Brazil,BRA,1795693265810.23
Barbados,BRB,4830000000.0
Brunei Darussalam,BRN,11400854267.7188
Bhutan,BTN,2158972129.00307
Botswana,BWA,15082578064.8002
Central African Republic,CAF,1825018190.85071
Canada,CAN,1527994741907.43
Central Europe and the Baltics,CEB,1321405910582.08
Switzerland,CHE,695600652899.283
Channel Islands,CHI,
Chile,CHL,250440149690.846
China,CHN,11233276536744.7
Cote d'Ivoire,CIV,47964234560.0514
Cameroon,CMR,33814337900.2831
"Congo, Dem. Rep.",COD,37134799974.5225
"Congo, Rep.",COG,10215989995.0073
Colombia,COL,282825009887.458
Comoros,COM,1012835518.26037
Cabo Verde,CPV,1662998677.88425
Costa Rica,CRI,58847016044.8244
Caribbean small states,CSS,69598702057.8724
Cuba,CUB,91370000000.0
Curacao,CUW,3122287932.96089
Cayman Islands,CYM,4909498979.9592
Cyprus,CYP,20953442550.3653
Czech Republic,CZE,196272068576.338
Germany,DEU,3467498002104.33
Djibouti,DJI,2603540256.91955
Dominica,DMA,576229629.62963
Denmark,DNK,313115929314.339
Dominican Republic,DOM,75704720189.5607
Algeria,DZA,160034163871.455
East Asia & Pacific (excluding high income),EAP,13560237634379.5
Early-demographic dividend,EAR,10307820454608.6
East Asia & Pacific,EAS,22720684963608.3
Europe & Central Asia (excluding high income),ECA,2965857286860.64
Europe & Central Asia,ECS,20445552705800.9
Ecuador,ECU,99937696000.0
"Egypt, Arab Rep.",EGY,332441717791.411
Euro area,EMU,11964468804660.3
Eritrea,ERI,
Spain,ESP,1232076017361.53
Estonia,EST,24056487770.898
Ethiopia,ETH,74296618481.0882
European Union,EUU,13885155820999.3
Fragile and conflict affected situations,FCS,1407794580336.84
Finland,FIN,240607907010.383
Fiji,FJI,4930204229.72263
France,FRA,2471285607081.72
Faroe Islands,FRO,2738832687.13698
"Micronesia, Fed. Sts.",FSM,332265200.0
Gabon,GAB,14023890620.3384
United Kingdom,GBR,2722851958486.23
Georgia,GEO,15141758566.7808
Ghana,GHA,56165172898.8695
Gibraltar,GIB,
Guinea,GIN,8595955581.21787
"Gambia, The",GMB,1484579844.37143
Guinea-Bissau,GNB,1179004941.22904
Equatorial Guinea,GNQ,11240808846.6928
Greece,GRC,193017030649.7
Grenada,GRD,1061640740.74074
Greenland,GRL,2707146783.13056
Guatemala,GTM,66053725049.0138
Guam,GUM,5901000000.0
Guyana,GUY,4482697336.56174
High income,HIC,49096222099382.5
"Hong Kong SAR, China",HKG,320837638328.846
Honduras,HND,21566622849.6057
Heavily indebted poor countries (HIPC),HPC,668494140790.382
Croatia,HRV,52295158344.2544
Haiti,HTI,13987693738.923
Hungary,HUN,128636108315.474
IBRD only,IBD,25985815318089.0
IDA & IBRD total,IBT,27944071146475.4
IDA total,IDA,1958087127898.94
IDA blend,IDB,942117764046.8
Indonesia,IDN,931877364177.742
IDA only,IDX,1015969363852.14
Isle of Man,IMN,6846691871.45558
India,IND,2294797980509.01
Not classified,INX,
Ireland,IRL,298725229419.215
"Iran, Islamic Rep.",IRN,417983583565.54
Iraq,IRQ,166602488747.885
Iceland,ISL,20793168030.9524
Israel,ISR,319024417316.889
Italy,ITA,1875797463583.87
Jamaica,JAM,14077109396.8584
Jordan,JOR,39892551126.7606
Japan,JPN,5003677627544.24
Kazakhstan,KAZ,137278320084.171
Kenya,KEN,74815121314.9381
Kyrgyz Republic,KGZ,6813092065.83507
Cambodia,KHM,20016747754.0192
Kiribati,KIR,178328984.096884
St. Kitts and Nevis,KNA,1008888888.88889
"Korea, Rep.",KOR,1500111596236.37
Kuwait,KWT,109419728566.7
Latin America & Caribbean (excluding high income),LAC,4527263970326.23
Lao PDR,LAO,15912495368.8717
Lebanon,LBN,51389318290.8642
Liberia,LBR,3398419600.0
Libya,LBY,26197143268.1243
St. Lucia,LCA,1865513444.44444
